headline,short_description,authors,date,label
REI Workers At Berkeley Store Vote To Unionize In Another Win For Labor,They follow in the footsteps of REI workers in New York City who formed a union earlier this year.,Dave Jamieson,2022-08-25,0
Crypto Crash Leaves Trading Platform Coinbase Slumped,Cryptocurrency trading platform Coinbase has lost half its value in the past week.,"Matt Ott, AP",2022-05-12,-1
Elon Musk Offers To Buy 100% Of Twitter,"“My offer is my best and final offer and if it is not accepted, I would need to reconsider my position as a shareholder,” Musk said in a filing.",Marita Vlachou,2022-04-14,-1
3 More Starbucks Stores Vote To Unionize In Another Victory For Labor Campaign,That makes six union Starbucks stores with more than a hundred others seeking elections.,Dave Jamieson,2022-03-09,0
Another Starbucks Store Votes To Unionize,The store in Arizona joins two in New York as the only corporate Starbucks stores with a union.,Dave Jamieson,2022-02-25,0
Holiday Sales Rise Despite Supply Issues And Omicron,"After omicron hit, some consumers stayed home and shifted their spending to e-commerce -- but sales stayed strong.","Paul Wiseman and Anne D'Innocenzio, AP",2021-12-26,1
Flight Attendants At American Airlines Subsidiary Threaten To Strike,Workers at Piedmont Airlines say their wages are too low to live on. Now they might join other striking workers.,Dave Jamieson,2021-10-21,-1
GameStop Soars Again; Wall Street Bends Under The Pressure,"The video game retailer shot up nearly 70%, clawing back much of its steep loss from the day before.","Stan Choe, Damian J. Troise, and Alex Veiga, AP",2021-01-30,1
Child Labor In Palm Oil Industry Tied To Girl Scout Cookies,"“I am dreaming one day I can go back to school,"" said a 10-year-old Indonesian girl who works at a palm oil plantation that helps produce the cookies and other Western brand items.","ROBIN McDOWELL and MARGIE MASON, AP",2020-12-29,0
White Workers Are Getting Hired Back Twice As Fast As Black Workers,Nearly all the improvement in the unemployment rate over the past few months has been for white workers.,Emily Peck,2020-09-15,0
The Election Could Ultimately Decide The Dakota Access Pipeline’s Fate,The controversial oil route once again fended off an order to shut down -- for now.,Alexander C. Kaufman,2020-08-05,0
Lululemon Apologizes For Art Director's Post About Racist 'Bat Fried Rice' T-Shirt,"The athletic apparel brand said the offensive shirt wasn't its product and the executive who promoted it on Instagram is ""no longer an employee.""",Jenna Amatulli,2020-04-22,0
Four Seasons Offers Free Rooms To NYC Health Care Workers Responding To Coronavirus,"Several other luxury hotels stepped up later to offer beds to medical workers in the midst of the pandemic, Gov. Andrew Cuomo said.",Jenna Amatulli,2020-03-26,1
"Airbnb Bans Open-Invite Parties, Unruly Guests After Fatal Halloween Shooting",The company is revamping its guest standards and banning open-invite parties across the app after a shooting at a San Francisco rental left five people dead.,Carla Herreria Russo,2019-12-06,-1
"Payless ShoeSource To Close All Remaining 2,100 Stores",Expect liquidation sales as the stores wind down operations by spring.,,2019-02-16,-1
"U.S. Charges Chinese Tech Giant Huawei, Top Executive",A 13-count indictment was unsealed in New York.,"Michael Balsamo, AP",2019-01-28,0
"Google Shutters Google+ After Security Flaw Exposed Data Of At Least 500,000 Users",The company had known about the glitch since March but failed to inform the public.,"Arjun Panchadar, Munsif Vengattil and Paresh Dave, Reuters",2018-10-09,-1
Starbucks Announces Plans To Close 150 Underperforming Stores,No word yet on how many workers will lose their jobs when the stores close.,"Uday Sampath Kumar and Alana Wise, Reuters",2018-06-20,-1
Seattle Passes Controversial New Tax On City's Biggest Companies To Combat Housing Crisis,"Following the council vote, Amazon’s vice president, Drew Herdener, said the company has resumed construction planning for its so-called Block 18 project in downtown Seattle.","Gregory Scruggs, Reuters",2018-05-15,0
How Uber Silences Women After Sexual Assaults,"Just by using the app, you click away your rights. Now some victims are fighting for change.",Emily Peck,2018-05-12,-1
Ex-Volkswagen CEO Charged In U.S. Over Emissions Cheating Scandal,Martin Winterkorn resigned soon after the scandal became public in 2015.,"David Shepardson, Reuters",2018-05-03,-1
The SEC Just Made The Case For Divesting From Fossil Fuel Companies Much Stronger,"The agency's ruling in a little-noticed case last month has knocked the wind out of the push for shareholder activism, a favorite neoliberal tactic to address climate change.",Alexander C. Kaufman,2018-04-17,1
"In Los Angeles, Bitter Tensions Over Where To House The Homeless Rile Communities","Voters approved a plan for supportive housing, but disputes over where to put it have stalled progress.",Razzan Nakhlawi,2018-04-14,0
Twitter Has Suspended 1.2 Million Accounts For 'Terrorist Content',The company touts improved in-house tracking tools for steering abusive accounts away from the site.,Mary Papenfuss,2018-04-06,1
"Saks, Lord & Taylor Hit By Payment Card Data Breach",Toronto-based Hudson’s Bay did not say when the breach had begun or how many payment card numbers were taken.,"Jim Finkle and David Henry, Reuters",2018-04-01,-1
These Stock Photos Show Masculinity Is More Than Biceps And Beer,"Discarding gender stereotypes, new collections feature male nurses and stay-at-home dads, along with guys who wear makeup and jewelry.",Angelina Chapin,2018-03-29,1
Walmart Partners With Conservative Group To Remove Cosmo From Checkout Lines,"“The real world took another step toward its slow and sure conversion to The Handmaid’s Tale this week,” a Vogue editor responded.",Rebecca Shapiro,2018-03-28,0
"Elon Musk's Estranged Father Has Child With Stepdaughter, Says It's 'God's Plan'",The young woman was only 4 years old when Errol Musk married her mother.,Jenna Amatulli,2018-03-26,0
"Toys R Us Founder Charles Lazarus, 94, Dies As His Empire Comes To A Close",Lazarus was 94 years old.,Rebecca Shapiro,2018-03-22,-1
iHeartMedia Files For Chapter 11 Bankruptcy Protection,The company has reached an agreement with shareholders of more than $10 billion of its outstanding debt.,"Tom Hals, Reuters",2018-03-15,1
Facebook Defends Its Use Of Secret Courts To Handle Sexual Harassment Cases,"The tech giant is standing behind its use of forced arbitration, a practice criticized for silencing women.",Emily Peck,2018-03-14,0
Geek Squad Has Been Turning Customer Data Over To The FBI For More Than A Decade,New documents show the two groups have a deeper working relationship than previously known.,Ryan Grenoble,2018-03-07,0
"Ride-Hailing Drivers Probably Make Even Less Than They Think, MIT Paper Finds","Uber called the methodology and findings of the working paper ""deeply flawed.""",Ryan Grenoble,2018-03-02,0
Walmart To Raise Age Requirement To Buy Firearms And Ammunition,"The retail giant said it's making changes to its gun sale policies ""in light of recent events.""",Carla Herreria,2018-02-28,-1
"Facebook Finally Yanks Virtual Reality Shooting Game At CPAC, Apologizes","""Bullet Train"" featured players firing on virtual people in a train station just days after the Parkland high school shootings.",Mary Papenfuss,2018-02-25,0
Uber Is Still Losing Carloads Of Money,But the ride-hailing pioneer seems to be slowing the bleeding.,Ryan Grenoble,2018-02-14,-1
"Wall Street Turmoil Worsens As Dow Jones Plunges 1,000 Points",The benchmark S&P 500 and the Dow industrials confirmed they were in correction territory.,"Lewis Krauskopf, Reuters",2018-02-08,-1
Asian Markets Take A Tumble After U.S. Stocks Decline,Asian shares fell sharply on Tuesday after Wall Street suffered its biggest decline since 2011.,"Hideyuki Sano, Reuters",2018-02-06,-1
"Dow Plunges Nearly 1,600 Points In Biggest Intraday Point Drop In History",The drop came as investors grappled with rising bond yields and potentially firming inflation.,"Lewis Krauskopf, Reuters",2018-02-05,-1
Trump’s USDA Could Make Hog Workers’ Jobs Even More Dangerous,The government agency proposed a rule that would eliminate line speed maximums at hog plants.,Eleanor Goldberg,2018-02-01,0
Most Americans Can't Afford A Minor Emergency,"Just 39 percent of Americans have enough money in savings to cover an unexpected $1,000 bill, according to a new report.",Eleanor Goldberg,2018-01-29,0
RNC Finance Chair Steve Wynn Accused Of Decades Of Sexual Misconduct: Report,The Las Vegas mogul has been accused of sexually harassing and abusing female employees.,Antonia Blumberg,2018-01-26,0
"Squirming On The Floor And A $200,000 Payout: Travis Kalanick's Last Months At Uber","""I'm terrible,"" he muttered, according to a devastating report from Bloomberg.",Ryan Grenoble,2018-01-18,0
Native Americans Who Can't Afford Heat Take Desperate Measures To Stay Warm,"“Out here, it feels like we’re in our own world. It doesn’t feel like the U.S. It feels like a third-world country.”",Eleanor Goldberg,2018-01-13,0
Ford Urges Thousands Of Pickup Owners To Stop Driving After New Airbag Death,At least 21 deaths worldwide are linked to the Takata inflators that can rupture and send deadly metal fragments inside vehicles.,"By David Shepardson, Reuters",2018-01-12,-1
Minimum Wage Raises Coming To 18 States On New Year’s Day,"Some hikes are less than a quarter an hour. But when you're making minimum wage, every penny counts.",Dave Jamieson,2017-12-31,1
Dollar General To Create 400 New Jobs In Texas As It Expands In Rural America,The discount chain is building a new distribution center in the Lone Star State to support its growing store count.,Sara Boboltz,2017-12-27,1
Corporations Are Trying To Sell The GOP's Narrative On Tax Cuts,"Bonuses for workers are smart PR, but they don't mean Republicans' trickle-down fantasies are coming true.","Dean Baker, Guest WriterGuest Writer",2017-12-22,0
Alphabet's Eric Schmidt Stepping Down As Executive Chairman,Schmidt will continue to serve Alphabet as an adviser focused on technical and science issues.,"Salvador Rodriguez and Sonam Rai, Reuters",2017-12-21,0
Bubbles: Are They Back?,There has been much greater concern about the danger of asset bubbles ever since the collapse of the housing bubble sank,"Dean Baker, Guest WriterGuest Writer",2017-12-19,-1
ESPN President John Skipper Resigns Unexpectedly,Skipper cited substance addiction in a statement.,Ryan Grenoble,2017-12-18,0
Jim Spencer Died In A Pile Of Dirt. The Law Was Too Weak To Help.,"$41,600 in fines, no criminal charges. A plumber’s death in a trench cave-in shows how the country values the lives of workers.","Jim Morris, Center for Public Integrity",2017-12-14,-1
New York City Just Recognized That It's Not Only Women Who Have To Change Diapers,A new bill will require all public restrooms in New York City to have diaper changing tables.,Eleanor Goldberg,2017-12-11,0
Sexual Harassment Comes At A Cost. So Does Speaking Up About It.,And the price is often steepest for the women who can least afford it.,"Yassmin Abdel-Magied, Guest WriterGuest Writer",2017-12-11,0
"Uber Paid 20-Year-Old Florida Man $100,000 To Keep Quiet About Data Breach",The breach exposed the personal data of 57 million Uber users.,"Joseph Menn, Dustin Volz, Reuters",2017-12-07,-1
You Do Not Need To Buy This,"Social science points to a few ways that people find lasting, deep satisfaction. None of them require a trip to the mall.","Amitai Etzioni, ContributorUniversity Professor and Professor of International Relations,...",2017-12-04,-1
Hawaii Developer Under Fire For Segregated 'Poor Door' For Renters,The controversial entrance has been proposed across the country.,Carla Herreria,2017-12-03,0
Sheryl Sandberg Warns Of #MeToo Backlash Against Women,The Facebook executive is hearing people say this is why you shouldn't hire women. Actually this is why you should.,Emily Peck,2017-12-03,0
Why I Reached Out To Russell Simmons,One week before screenwriter Jenny Lumet gave her very graphic account in the Hollywood Reporter of her allegation that music,"Earl Ofari Hutchinson, ContributorEarl Ofari Hutchinson is an author and political analyst",2017-11-30,0
Surprise Bidder For Weinstein Company Wants Embattled Studio To Be Led By Women,Former Obama official and businesswoman Maria Contreras-Sweet has reportedly submitted an offer to acquire TWC for $275 million.,Dominique Mosbergen,2017-11-21,0
Did You Know Trump Made It Easier For Banks To Get Away With Screwing The Poor And Minorities?,"Let’s start by talking about Republican economic philosophy. To be sure, popular vote loser Donald Trump has not played a","Ian Reifowitz, ContributorProfessor of History at SUNY-Empire State College",2017-11-20,-1
"All Of The Best Black Friday Deals, In One Exhaustive List","Check back, because we'll keep updating this list as the deals roll in 💸",Amanda Pena,2017-11-16,1
Millennials Can Afford To Buy A Home In These States,There have been a handful of reports over the past year detailing why millennials are no longer buying homes. In addition,"Brittany Jones-Cooper, Yahoo Finance",2017-11-14,1
Ocwen Financial: A Servicing Odyssey,Remember that obstinate computer from Stanley Kubrick’s 2001: A Space Odyssey — HAL 9000 — a machine with a will of its own,"Joel Sucher, ContributorNew York filmmaker/author/blogger",2017-11-07,0
"Uber, Lyft Ban Far-Right Journalist Following Islamophobic Tweets",Commentator Laura Loomer promised legal action against the ride-sharing companies.,Antonia Blumberg,2017-11-02,0
Because Sexual Abuse Is The Old Normal,Don’t let Bill O’Reilly dominate any part of our culture again.,"Madeleine Burnside, ContributorEditor, The Sanity Papers",2017-10-28,0
CVS Is Reportedly In Talks To Acquire Aetna,The pharmacy chain's move is likely motivated by concerns Amazon could enter the health care sector.,Doha Madani,2017-10-27,0
Get Ahead Of The Problem: 5 Actionable Steps To Address Sexual Harassment At Your Company,Hold a team meeting to let your employees know you have their back.,"Samier Mansur and Meera Seshadri, Contributors",2017-10-25,0
Move The Starting Line: COO Knows Diverse Teams Yield Creativity,"Yes, she knows it sounds odd coming from someone with an undergraduate degree from Northwestern University and a masters","Michele Weldon, ContributorAuthor, Journalist, Emerita Faculty at Northwestern University",2017-10-20,0
Should These Anti-Consumer Laws Be Repealed Now?,"Some rules and regulations work as intended. Some don't. Last week, I took a hard look at new laws that needed to be passed","Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2017-10-16,0
The Jobs From The North Dakota “Oil Miracle” Have Disappeared,"The idea that we shouldn’t help workers through non-permanent bouts of joblessness is somewhat callous. (Hey, what’s 40 weeks","Nick Buffie, ContributorEconomic Policy Analyst",2017-10-10,-1
Employment Falls In September After Hurricanes Harvey And Irma Undercut Economic Activity,It's the first time employment has fallen in seven years.,"Lucia Mutikani, Reuters",2017-10-06,-1
"Scam Alert! In A Hyperactive Hurricane Season, The Worst May Not Be Over","Harvey. Irma. Maria. In a hyperactive hurricane season, the mere mention of these storms evokes fear, dread -- and regret","Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2017-10-03,0
Starbucks Under Fire For Giving Less Parental Leave To Hourly Workers,"""This is a moral issue.""",Emily Peck,2017-10-02,0
Whole Foods' Yom Kippur Cake Doesn't Seem To Get The Holiday,Yom Kippur is typically observed by fasting.,Jenna Amatulli,2017-09-29,0
You’re Hired! Change The Process To Fill The Gender Gap So Women In Tech Win,"The women in tech pipeline problem starts not with whether or not a male or female candidate is hired, but how a candidate","Michele Weldon, ContributorAuthor, Journalist, Emerita Faculty at Northwestern University",2017-09-25,1
KB Home Cuts CEO's Annual Incentive Payment In Response To Vulgar Rant (UPDATE),CEO Jeffrey Mezger's mouth is going to cost him money.,Ryan Grenoble,2017-09-21,0
Facebook Enabled Advertisers to Reach ‘Jew Haters’,"After being contacted by ProPublica, Facebook removed several anti-Semitic ad categories and promised to improve monitoring.","Julia Angwin, Madeleine Varner and Ariana Tobin, ProPublica",2017-09-14,0
Betcha Didn't Know Travel Insurance Covered That,Betsy Donley recommends travel insurance for all the reasons you'd imagine -- and a few you might not. It's commonly known,"Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2017-09-12,0
"3 Reasons To Be Angry About Equifax’s Data Breach, And How You Can Protect Yourself","Look’s like the Attorney General is on it: For those who did take them up on their offer, it only seems to imply whether","Shindy Chen, ContributorLeft-Brain, Right-Brain",2017-09-08,-1
DACA: 5 Ways Corporate Leaders Can Step Up To Make An Impact,"DACA has ceased to exist as we have known it, leaving many disheartened wondering what the future holds for the lives and","Lili Gil Valletta, ContributorEntrepreneur, Cultural Innovator, CEO CIEN+ CulturIntel, mom.",2017-09-06,0
Hurricane Harvey And The Failure Of The Free Market,This is a life-or-death situation.,"Paul Constant, ContributorFellow at Civic Ventures and co-founder of the Seattle Review ...",2017-08-30,-1
"So, Eclipse Boomtowns, How’d It Go?","It matters a good deal to smaller towns with less vibrant economies, both as a one-time revenue boost as well as an aid to longer-term marketing efforts.","The Atlantic, ContributorExploring the American idea since 1857",2017-08-29,0
Waterproof Advice For Making Your Home Vacation-Ready,If you’ve ever left for your summer vacation silently hoping your house would still be there ― and in good working order,"Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2017-08-28,1
"Freelancing Is Not Easier Than ""Regular"" Work","Freelancing, or at least moving to a freelance economy has provided us not with answers for the work-force that has bound","Shaylynn Hayes, ContributorFounder of Love Not Stigma, Writer, Student, and Advocate For ...",2017-08-27,0
"Exxon Mobil 'Misled' Public On Climate Change For 40 Years, Harvard Study Finds","Researchers found a ""systematic, quantifiable discrepancy"" between what the oil giant said about climate change in private versus what it told the public.",Dominique Mosbergen,2017-08-24,0
6 Habits Of People Who Make Things Happen,People who get things done are willing to embrace the suck and keep coming back for more.,"Jeff Boss, ContributorLeadership and Team Coach",2017-08-22,1
Powerball Jackpot Balloons To $650 Million After No Winner Found,The next drawing for what is now the second-largest jackpot in the game's history is on Wednesday.,"Peter Szekely, Reuters",2017-08-20,0
"Overcoming Fear, Managing Failure And Developing A Success Mindset","Fear is one of those things we’ve all experienced at some point. In times of physical danger, fear can literally save our","Nancy A. Ruffin, ContributorMother, Wife, Writer, and Life Strategist",2017-08-17,1
Google This: Best Way To Handle A Hostile Co-Worker Who Shows Gender Bias,Answer with facts and evidence.,"Michele Weldon, ContributorAuthor, Journalist, Emerita Faculty at Northwestern University",2017-08-13,0
Early Uber Investor Suing Former CEO Travis Kalanick For Fraud,"""Kalanick intentionally concealed and failed to disclose his gross mismanagement and other misconduct at Uber,"" the suit claims.",Ryan Grenoble,2017-08-10,0
The Anti-Diversity Memo Leaked Out Of Google Is Typical Tech Industry Discrimination,A Google engineer's manifesto reveals the tech industry is not against declining profit to protect its exclusive pool of employees.,"Bärí A. Williams, Guest WriterGuest Writer",2017-08-07,0
12 Essential Habits of Exceptional Leaders,One of the most popular Dilbert comic strips in the cartoon’s history begins with Dilbert’s boss relaying senior leadership’s,"Dr. Travis Bradberry, ContributorTalentSmart, President and 'Emotional Intelligence 2.0,' Coauthor",2017-08-05,1
Billionaire’s Plan To Sell A Publicly-Owned Airport Is A Lesson In Trumponomics,"Billionaire Rex Sinquefield usually gets what he wants by spending big. An avid chess player, he poured tens of millions","Donald Cohen, ContributorExecutive Director, In the Public Interest",2017-08-03,0
